task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
18	bc/bdfbf9	8135	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2025-07-30 12:39:43.566	5m 37s	5m 37s	396.4%	116.3 MB	1.1 GB	820.8 MB	807.8 MB
22	90/cb8770	16199	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (SRR13500958)	COMPLETED	0	2025-07-30 12:45:20.417	40.3s	40s	392.5%	129.8 MB	968.3 MB	92.5 MB	83.1 MB
20	5a/7c96cd	18007	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2025-07-30 12:46:00.717	43s	43s	393.0%	107.1 MB	964.7 MB	116.8 MB	107.1 MB
24	9d/8a6c76	19919	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5405022)	COMPLETED	0	2025-07-30 12:46:43.722	21.7s	22s	393.8%	88.9 MB	937.8 MB	92.7 MB	84.5 MB
17	f6/10e7b3	21409	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5181310)	COMPLETED	0	2025-07-30 12:47:05.471	10.3s	9s	210.8%	832.2 MB	3.9 GB	60.1 MB	3.8 MB
15	62/28f389	22025	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (SRR13500958)	COMPLETED	0	2025-07-30 12:47:15.808	6.6s	5s	241.6%	399.8 MB	3.9 GB	37.3 MB	4 MB
19	0f/35965f	22484	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5743893)	COMPLETED	0	2025-07-30 12:47:22.397	6.2s	5s	218.2%	435.5 MB	3.9 GB	26.4 MB	3.8 MB
21	5f/35f2d5	22886	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (SRR13500958)	COMPLETED	0	2025-07-30 12:47:28.639	6.2s	5s	247.9%	358.5 MB	3.9 GB	33.2 MB	3.9 MB
12	df/1a5f12	23287	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5405022)	COMPLETED	0	2025-07-30 12:47:34.889	6.2s	5s	224.1%	493.5 MB	3.9 GB	32.9 MB	3.6 MB
11	c0/d5e27b	23692	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5181310)	COMPLETED	0	2025-07-30 12:47:41.173	10.7s	9s	197.9%	828.1 MB	3.9 GB	73.1 MB	3.9 MB
23	e9/f13876	24366	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5405022)	COMPLETED	0	2025-07-30 12:47:51.870	6.2s	4s	238.2%	324.7 MB	3.9 GB	27.5 MB	3.7 MB
13	03/2abe57	24768	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5556343)	COMPLETED	0	2025-07-30 12:47:58.067	7.3s	6s	217.2%	546.6 MB	3.9 GB	34 MB	3.8 MB
14	ad/3ebadf	25222	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_RAW (ERR5743893)	COMPLETED	0	2025-07-30 12:48:05.329	7.3s	6s	229.2%	522.3 MB	3.9 GB	32.9 MB	3.9 MB
25	18/15f1c9	25680	NFCORE_VIRALRECON:ILLUMINA:FASTQ_TRIM_FASTP_FASTQC:FASTQC_TRIM (ERR5556343)	COMPLETED	0	2025-07-30 12:48:12.591	6.3s	5s	238.8%	742.9 MB	3.9 GB	29.2 MB	3.8 MB
26	c4/9d8744	26082	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5556343)	COMPLETED	0	2025-07-30 12:48:18.897	1m 5s	1m 5s	394.4%	109.4 MB	962.4 MB	173.2 MB	163.5 MB
16	ca/3e20a1	28420	NFCORE_VIRALRECON:ILLUMINA:PREPARE_GENOME:SNPEFF_BUILD (nCoV-2019.reference.fasta)	COMPLETED	0	2025-07-30 12:49:24.196	2.9s	3s	48.0%	73.6 MB	15.2 GB	19.2 MB	17 KB
27	02/866879	28788	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2025-07-30 12:49:27.076	5.5s	5s	273.9%	729.1 MB	3.8 GB	35.5 MB	32.5 MB
28	47/d3ddf4	29179	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2025-07-30 12:49:32.574	918ms	1s	225.5%	6.4 MB	3.2 GB	12.1 MB	5.1 MB
29	1b/61c6fc	29352	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2025-07-30 12:49:33.497	1.1s	1s	217.1%	6.2 MB	3.2 GB	5.1 MB	4.6 MB
30	56/5db55f	29527	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2025-07-30 12:49:34.601	1.1s	1s	232.0%	7.2 MB	3.4 GB	7.8 MB	7.4 MB
31	d2/22ed3b	29701	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2025-07-30 12:49:35.752	1.6s	2s	240.2%	150.5 MB	3.7 GB	7.9 MB	7.2 MB
32	b7/ab317d	29929	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2025-07-30 12:49:37.312	1.5s	1s	129.5%	6.4 MB	220.9 MB	32.5 MB	5 KB
33	3f/5f0a4e	30145	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2025-07-30 12:49:38.824	503ms	0ms	96.5%	6.4 MB	220.9 MB	5.2 MB	5 KB
34	c5/f2347a	30307	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2025-07-30 12:49:39.331	569ms	0ms	99.1%	5.8 MB	220.9 MB	4.7 MB	5 KB
35	c1/340e9b	30467	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2025-07-30 12:49:39.904	552ms	0ms	100.4%	6.1 MB	220.9 MB	7.5 MB	5 KB
36	4f/16a090	30629	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2025-07-30 12:49:40.460	677ms	1s	99.4%	6.2 MB	220.9 MB	7.3 MB	5 KB
42	85/ad2360	30799	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2025-07-30 12:49:41.173	375ms	0ms	99.0%	3.1 MB	5.4 MB	109.3 KB	4.9 KB
49	5a/8b053f	30800	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2025-07-30 12:49:41.178	514ms	0ms	124.4%	6.4 MB	220.9 MB	4.7 MB	5.4 KB
38	3b/e0176f	31102	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2025-07-30 12:49:41.553	383ms	0ms	90.7%	3.1 MB	5.4 MB	109.2 KB	4.9 KB
45	ad/1f3b46	31180	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2025-07-30 12:49:41.700	388ms	1s	94.1%	3 MB	5.4 MB	109.3 KB	4.9 KB
50	0a/113bab	31364	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2025-07-30 12:49:41.941	520ms	0ms	112.1%	6.4 MB	220.9 MB	7.5 MB	5.4 KB
47	1f/39a33d	31502	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2025-07-30 12:49:42.093	492ms	0ms	112.4%	6.4 MB	220.9 MB	5.2 MB	5.4 KB
44	a0/294ee1	31749	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2025-07-30 12:49:42.469	375ms	0ms	76.6%	3.1 MB	5.4 MB	109.2 KB	4.9 KB
48	fd/4aba62	31821	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2025-07-30 12:49:42.593	385ms	0ms	95.7%	3 MB	5.4 MB	109.2 KB	4.9 KB
51	ae/418347	32142	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2025-07-30 12:49:42.987	638ms	0ms	125.0%	6.5 MB	220.9 MB	7.3 MB	5.4 KB
37	cd/54f598	32018	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2025-07-30 12:49:42.850	1.4s	1s	137.1%	6.2 MB	220.9 MB	32.5 MB	5.4 KB
40	a9/fc31b2	32480	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (SRR13500958)	COMPLETED	0	2025-07-30 12:49:44.945	848ms	0ms	120.4%	7.5 MB	222.2 MB	5.2 MB	138.9 KB
43	ee/5efdf2	32648	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5405022)	COMPLETED	0	2025-07-30 12:49:45.862	918ms	0ms	117.0%	7.1 MB	222.2 MB	7.5 MB	94.2 KB
41	cc/c5fbf6	32650	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5743893)	COMPLETED	0	2025-07-30 12:49:45.868	1.1s	0ms	113.9%	7.4 MB	222.2 MB	4.7 MB	104.7 KB
46	03/b517d3	33054	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5556343)	COMPLETED	0	2025-07-30 12:49:46.964	1.2s	1s	115.4%	7.4 MB	222.3 MB	7.3 MB	104.4 KB
39	41/c387ce	32959	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (ERR5181310)	COMPLETED	0	2025-07-30 12:49:46.786	4.9s	4s	120.9%	7.2 MB	222.2 MB	32.6 MB	99 KB
54	27/ac52a3	33550	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (SRR13500958)	COMPLETED	0	2025-07-30 12:49:54.329	1.7s	1s	90.0%	9.7 MB	15.8 MB	5.2 MB	5.1 MB
53	ae/c3ba74	33768	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5405022)	COMPLETED	0	2025-07-30 12:49:56.052	4.2s	4s	94.7%	11.1 MB	17.3 MB	7.4 MB	7.4 MB
52	4f/36857a	34096	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5743893)	COMPLETED	0	2025-07-30 12:50:00.271	2.2s	2s	94.3%	9.9 MB	16.1 MB	4.7 MB	4.6 MB
55	be/4f6c99	34314	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5556343)	COMPLETED	0	2025-07-30 12:50:02.468	3.1s	3s	94.7%	11.6 MB	17.9 MB	7.3 MB	7.3 MB
56	92/838199	34587	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:IVAR_TRIM (ERR5181310)	COMPLETED	0	2025-07-30 12:50:05.531	11.3s	11s	95.2%	29.1 MB	35.4 MB	32.5 MB	32.9 MB
57	cd/2820c9	35292	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2025-07-30 12:50:16.829	964ms	0ms	213.5%	7.5 MB	3.4 GB	5.2 MB	5.1 MB
58	a3/082f9b	35465	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2025-07-30 12:50:17.798	1.2s	0ms	234.3%	6.5 MB	3.2 GB	7.5 MB	7.4 MB
59	80/7281e7	35642	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2025-07-30 12:50:18.966	1.1s	0ms	226.2%	10.1 MB	3.4 GB	4.7 MB	4.6 MB
60	b2/57fc22	35817	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2025-07-30 12:50:20.029	1.5s	1s	255.6%	155.2 MB	3.8 GB	7.4 MB	7.2 MB
61	97/8c40a3	36046	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2025-07-30 12:50:21.541	5.9s	6s	255.0%	735.6 MB	3.8 GB	33 MB	32.8 MB
63	31/4cefd9	36492	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2025-07-30 12:50:27.450	511ms	0ms	91.4%	6.4 MB	220.9 MB	5.2 MB	5 KB
62	7e/6591ad	36655	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SRR13500958)	COMPLETED	0	2025-07-30 12:50:27.965	7.1s	7s	125.3%	76.9 MB	118 MB	55.7 MB	50.4 MB
64	8f/12b124	37363	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2025-07-30 12:50:35.068	574ms	0ms	102.7%	6.5 MB	220.9 MB	7.5 MB	5 KB
65	79/c68f0b	37526	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5405022)	COMPLETED	0	2025-07-30 12:50:35.646	7.1s	7s	127.5%	78.3 MB	119.3 MB	59.9 MB	52.3 MB
67	f3/e04bda	38218	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2025-07-30 12:50:42.785	582ms	0ms	91.0%	6.4 MB	220.9 MB	4.7 MB	5 KB
66	96/d0ed75	38382	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5743893)	COMPLETED	0	2025-07-30 12:50:43.378	7.8s	8s	131.2%	134.1 MB	220.8 MB	71.9 MB	67.2 MB
69	5c/dd28b5	39139	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2025-07-30 12:50:51.156	623ms	0ms	111.4%	6.4 MB	220.9 MB	7.3 MB	5 KB
68	c6/76c263	39302	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5556343)	COMPLETED	0	2025-07-30 12:50:51.784	10.2s	9s	140.8%	151 MB	225.3 MB	113.3 MB	105.9 MB
70	89/4d9286	40217	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2025-07-30 12:51:02.000	1.5s	1s	134.2%	6.5 MB	220.9 MB	32.9 MB	5 KB
71	bb/989692	40436	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5181310)	COMPLETED	0	2025-07-30 12:51:03.455	45.1s	45s	161.8%	555.2 MB	821.8 MB	558.7 MB	525.7 MB
73	d4/ce9acd	41936	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (SRR13500958)	COMPLETED	0	2025-07-30 12:51:48.595	373ms	0ms	260.9%	5.9 MB	12.9 MB	5.2 MB	150 KB
74	9a/4ce175	42103	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (SRR13500958)	COMPLETED	0	2025-07-30 12:51:48.973	386ms	0ms	251.0%	6.4 MB	13.5 MB	5.3 MB	221.4 KB
76	9e/2ea3fc	42271	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5405022)	COMPLETED	0	2025-07-30 12:51:49.363	419ms	0ms	281.5%	5.8 MB	12.9 MB	7.6 MB	295.5 KB
78	63/a0ef2c	42434	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5405022)	COMPLETED	0	2025-07-30 12:51:49.788	424ms	0ms	255.7%	6 MB	13.5 MB	7.6 MB	405.5 KB
82	7b/ebea77	42602	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5743893)	COMPLETED	0	2025-07-30 12:51:50.217	399ms	0ms	255.2%	5.5 MB	12.9 MB	4.7 MB	105.3 KB
81	0a/a5b61a	42765	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5743893)	COMPLETED	0	2025-07-30 12:51:50.620	389ms	0ms	271.3%	5.9 MB	13.5 MB	4.7 MB	165.7 KB
85	20/6d0b74	42932	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5556343)	COMPLETED	0	2025-07-30 12:51:51.013	449ms	0ms	297.3%	5.9 MB	12.9 MB	7.3 MB	113.4 KB
84	1f/afb270	43096	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5556343)	COMPLETED	0	2025-07-30 12:51:51.469	478ms	0ms	283.5%	6 MB	13.5 MB	7.4 MB	182.8 KB
89	9b/664d4e	43259	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5181310)	COMPLETED	0	2025-07-30 12:51:51.953	944ms	0ms	372.6%	5.9 MB	12.9 MB	32.9 MB	199.5 KB
92	0b/5b0a57	43431	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2025-07-30 12:51:52.909	523ms	0ms	114.9%	6.1 MB	220.9 MB	5.2 MB	5.4 KB
94	b6/244aa7	43425	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2025-07-30 12:51:52.902	534ms	0ms	110.1%	6.1 MB	220.9 MB	7.5 MB	5.4 KB
93	9b/ac4b22	43774	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2025-07-30 12:51:53.456	416ms	0ms	80.8%	3.1 MB	5.4 MB	109.3 KB	4.9 KB
96	83/b3c666	44066	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2025-07-30 12:51:53.877	431ms	0ms	79.3%	3.1 MB	5.4 MB	109.3 KB	4.9 KB
98	34/88b91a	44228	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2025-07-30 12:51:54.321	633ms	0ms	130.4%	6.4 MB	220.9 MB	7.3 MB	5.4 KB
99	95/c0ee29	43765	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5181310)	COMPLETED	0	2025-07-30 12:51:53.437	1.6s	1s	138.1%	7 MB	220.9 MB	32.9 MB	5.4 KB
95	2d/9d9b4d	44624	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2025-07-30 12:51:55.018	400ms	0ms	100.0%	3.1 MB	5.4 MB	109.3 KB	4.9 KB
97	b7/fd0acc	44571	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5743893)	COMPLETED	0	2025-07-30 12:51:54.960	543ms	0ms	114.8%	6.5 MB	220.9 MB	4.7 MB	5.4 KB
105	97/93fe54	44901	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2025-07-30 12:51:55.422	403ms	0ms	84.2%	3 MB	5.4 MB	109.3 KB	4.9 KB
102	b8/559478	44966	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2025-07-30 12:51:55.509	423ms	0ms	92.3%	3 MB	5.4 MB	109.3 KB	4.9 KB
